query	target	evalue	bits	prob	alntmscore	qtmscore	ttmscore	lddt	qcov	tcov	qlen	tlen	batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	7xcn-assembly1_D	4.620E-40	1486	1.000	9.497E-01	8.559E-01	9.045E-01	7.635E-01	0.906	0.953	520	491	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	7xcl-assembly1_F	8.472E-40	1455	1.000	9.375E-01	8.500E-01	8.933E-01	7.507E-01	0.906	0.953	520	494	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	7xcm-assembly1_C	1.833E-39	1454	1.000	9.428E-01	8.547E-01	9.001E-01	7.580E-01	0.906	0.955	520	493	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2qne-assembly1_B	2.919E-37	1359	1.000	9.370E-01	8.399E-01	9.162E-01	7.433E-01	0.908	0.979	520	475	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4yyc-assembly1_A-2	7.404E-33	1170	1.000	9.166E-01	8.221E-01	8.892E-01	7.160E-01	0.915	0.971	520	479	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3h2c-assembly1_A-2	5.761E-04	117	1.000	6.757E-01	3.611E-01	6.624E-01	3.579E-01	0.592	0.981	520	257	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6q62-assembly1_B	1.714E-04	116	1.000	6.124E-01	3.482E-01	6.047E-01	3.275E-01	0.598	0.989	520	266	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4d9p-assembly2_B	6.432E-04	114	1.000	6.629E-01	3.627E-01	6.545E-01	3.535E-01	0.598	0.989	520	261	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6day-assembly2_C	4.373E-04	112	1.000	6.460E-01	3.616E-01	6.439E-01	3.341E-01	0.602	1.000	520	264	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	6ofw-assembly1_B	6.797E-04	109	1.000	6.410E-01	3.545E-01	6.369E-01	3.410E-01	0.594	0.996	520	262	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1twz-assembly2_B	2.163E-03	106	1.000	6.782E-01	3.672E-01	6.650E-01	3.665E-01	0.592	0.981	520	262	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3tr9-assembly3_D-3	1.554E-03	102	1.000	6.380E-01	3.725E-01	6.361E-01	3.427E-01	0.602	1.000	520	275	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	1tx0-assembly2_B	3.361E-03	100	1.000	6.652E-01	3.621E-01	6.534E-01	3.567E-01	0.592	0.981	520	261	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	3tr9-assembly2_A	1.735E-03	100	1.000	6.215E-01	3.680E-01	6.196E-01	3.419E-01	0.602	1.000	520	277	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4djd-assembly1_A	8.953E-04	97	0.999	5.743E-01	2.957E-01	5.193E-01	3.103E-01	0.533	0.882	520	262	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5u0v-assembly1_B	2.047E-03	91	0.997	5.914E-01	3.199E-01	5.893E-01	3.090E-01	0.602	1.000	520	249	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	4jx5-assembly1_B	2.022E-04	88	0.995	4.344E-01	3.002E-01	2.684E-01	2.758E-01	0.737	0.534	520	596	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	5zmu-assembly2_C	2.285E-03	85	0.992	5.362E-01	3.196E-01	5.257E-01	2.991E-01	0.583	0.979	520	280	smoke_batch
T1_Acidiferrobacteraceae_bacterium__GCA_002686015.1_-_ASM268601v1__NYZW01000061.1__26__2024893_5	2yck-assembly1_X	9.064E-03	84	0.991	6.181E-01	3.537E-01	6.087E-01	3.252E-01	0.598	0.985	520	272	smoke_batch
