protein_id	family	final_decision_class_b7	final_priority_b7	primary_reference	primary_reference_type	chainaware_reference_mode	pdb_target	afsp_target	qtm_score	rmsd	query_pocket_n	reference_pocket_n	query_conserved_n	reference_conserved_n	query_conservation_fraction	reference_conservation_fraction	query_unique_n	query_no_alignment_n	query_pocket_plddt_mean	pfam_names	pfam_accs	kofam_ko_ids	annotation_flags	tier1_confidence	left_class	right_class	rulebook_pre_flags	rulebook_initial_class	rulebook_rule_id	rulebook_reason	recommended_next_module	manual_review_required	manual_review_reason	section8_auto_evidence_class	section8_auto_priority	section8_auto_reason	section8_positive_ligands	section8_nonbiological_ligands	section8_context_manual_ligands	section8_recommended_action	section8_refined_evidence_class	section8_refined_priority	section8_refinement_source	section8_refinement_reason
T1P001	CoA_trans	QUERY_SUPPORTED_REVIEW	MEDIUM_HIGH	1poi-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1poi-assembly1_B	AF-Q59112-F1-model_v6	0.944	0.872	12	19	12	12	1.0	0.6316	0	0	92.16	CoA_trans	PF01144.28	K01040	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	no_hit	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		STRONG_OR_QUERY_SUPPORTED_NO_LIGAND_CONTACT	MEDIUM_HIGH	Strong query pocket conservation exists, but no PDB ligand/contact support was detected.				Report as query-supported structural-pocket candidate with conserved literature-supported catalytic residue; do not claim ligand-supported or experimentally validated activity.	QUERY_SUPPORTED_PLUS_CATALYTIC_RESIDUE_CONSERVED	MEDIUM_HIGH	KNOWN_RESIDUE_OVERRIDE	Literature-supported catalytic Glu54 residue is conserved in the aligned query pocket; this supports residue-level conservation but does not prove enzymatic activity or substrate specificity.
T1P002	CoA_trans	QUERY_SUPPORTED_REVIEW	MEDIUM_HIGH	1poi-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1poi-assembly1_B	AF-Q59112-F1-model_v6	0.944	0.872	12	19	12	12	1.0	0.6316	0	0	92.16	CoA_trans	PF01144.28	K01040	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	no_hit	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		STRONG_OR_QUERY_SUPPORTED_NO_LIGAND_CONTACT	MEDIUM_HIGH	Strong query pocket conservation exists, but no PDB ligand/contact support was detected.				Report as query-supported structural-pocket candidate with conserved literature-supported catalytic residue; do not claim ligand-supported or experimentally validated activity.	QUERY_SUPPORTED_PLUS_CATALYTIC_RESIDUE_CONSERVED	MEDIUM_HIGH	KNOWN_RESIDUE_OVERRIDE	Literature-supported catalytic Glu54 residue is conserved in the aligned query pocket; this supports residue-level conservation but does not prove enzymatic activity or substrate specificity.
T1P003	CoA_trans	QUERY_SUPPORTED_REVIEW	MEDIUM_HIGH	1poi-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1poi-assembly1_B	AF-Q59112-F1-model_v6	0.944	0.872	12	19	12	12	1.0	0.6316	0	0	92.16	CoA_trans	PF01144.28	K01040	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		STRONG_OR_QUERY_SUPPORTED_NO_LIGAND_CONTACT	MEDIUM_HIGH	Strong query pocket conservation exists, but no PDB ligand/contact support was detected.				Report as query-supported structural-pocket candidate with conserved literature-supported catalytic residue; do not claim ligand-supported or experimentally validated activity.	QUERY_SUPPORTED_PLUS_CATALYTIC_RESIDUE_CONSERVED	MEDIUM_HIGH	KNOWN_RESIDUE_OVERRIDE	Literature-supported catalytic Glu54 residue is conserved in the aligned query pocket; this supports residue-level conservation but does not prove enzymatic activity or substrate specificity.
T1P004	CoA_trans	QUERY_SUPPORTED_REVIEW	MEDIUM_HIGH	1poi-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1poi-assembly1_B	AF-Q59112-F1-model_v6	0.944	0.872	12	19	12	12	1.0	0.6316	0	0	92.16	CoA_trans	PF01144.28	K01040	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		STRONG_OR_QUERY_SUPPORTED_NO_LIGAND_CONTACT	MEDIUM_HIGH	Strong query pocket conservation exists, but no PDB ligand/contact support was detected.				Report as query-supported structural-pocket candidate with conserved literature-supported catalytic residue; do not claim ligand-supported or experimentally validated activity.	QUERY_SUPPORTED_PLUS_CATALYTIC_RESIDUE_CONSERVED	MEDIUM_HIGH	KNOWN_RESIDUE_OVERRIDE	Literature-supported catalytic Glu54 residue is conserved in the aligned query pocket; this supports residue-level conservation but does not prove enzymatic activity or substrate specificity.
T1P005	CoA_trans	QUERY_SUPPORTED_REVIEW	MEDIUM_HIGH	1poi-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	1poi-assembly1_B	AF-Q59112-F1-model_v6	0.944	0.872	12	19	12	12	1.0	0.6316	0	0	92.16	CoA_trans	PF01144.28	K01040	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		STRONG_OR_QUERY_SUPPORTED_NO_LIGAND_CONTACT	MEDIUM_HIGH	Strong query pocket conservation exists, but no PDB ligand/contact support was detected.				Report as query-supported structural-pocket candidate with conserved literature-supported catalytic residue; do not claim ligand-supported or experimentally validated activity.	QUERY_SUPPORTED_PLUS_CATALYTIC_RESIDUE_CONSERVED	MEDIUM_HIGH	KNOWN_RESIDUE_OVERRIDE	Literature-supported catalytic Glu54 residue is conserved in the aligned query pocket; this supports residue-level conservation but does not prove enzymatic activity or substrate specificity.
T1P006	CobD_Cbib	STRONG_ADVANCE	HIGH	AF-Q1GDE9-F1-model_v6	AFSP_TOP1	AFSP_MODEL	6vfk-assembly1_B	AF-Q1GDE9-F1-model_v6	0.985	0.309	31	26	24	24	0.7742	0.9231	6	1	94.7	CobD_Cbib	PF03186.18	K02227	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	STRONG_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	AFSP_STRONG_POCKET_READY_FOR_FEATURE_SCAN	R08_PENDING	Strong pocket conservation with AFSP reference; UniProt/curated feature scan is needed for residue-level claims.	UNIPROT_FEATURE_SCAN	NO		AFSP_FEATURE_SCAN_PENDING	PENDING	AFSP reference requires UniProt/curated feature scan for residue-level interpretation.				Keep as strong structural-pocket candidate; do not claim curated catalytic/binding-site residue because UniProt feature scan found no residue-level active/binding/site feature.	STRONG_STRUCTURAL_POCKET_SUPPORT_NO_CURATED_RESIDUE	HIGH_CAUTION	AFSP_UNIPROT_FEATURE_SCAN	Strong AFSP-supported pocket signal exists, but no curated active/binding/site/metal/nucleotide residue-level feature was found.
T1P007	CobD_Cbib	STRONG_ADVANCE	HIGH	AF-Q1GDE9-F1-model_v6	AFSP_TOP1	AFSP_MODEL	8dub-assembly1_A	AF-Q1GDE9-F1-model_v6	0.985	0.323	28	26	23	23	0.8214	0.8846	3	2	94.26	CobD_Cbib	PF03186.18	K02227	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	STRONG_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	AFSP_STRONG_POCKET_READY_FOR_FEATURE_SCAN	R08_PENDING	Strong pocket conservation with AFSP reference; UniProt/curated feature scan is needed for residue-level claims.	UNIPROT_FEATURE_SCAN	NO		AFSP_FEATURE_SCAN_PENDING	PENDING	AFSP reference requires UniProt/curated feature scan for residue-level interpretation.				Keep as strong structural-pocket candidate; do not claim curated catalytic/binding-site residue because UniProt feature scan found no residue-level active/binding/site feature.	STRONG_STRUCTURAL_POCKET_SUPPORT_NO_CURATED_RESIDUE	HIGH_CAUTION	AFSP_UNIPROT_FEATURE_SCAN	Strong AFSP-supported pocket signal exists, but no curated active/binding/site/metal/nucleotide residue-level feature was found.
T1P008	CobD_Cbib	STRONG_ADVANCE	HIGH	AF-Q1GDE9-F1-model_v6	AFSP_TOP1	AFSP_MODEL	5k7v-assembly1_B	AF-Q1GDE9-F1-model_v6	0.985	0.329	31	26	24	24	0.7742	0.9231	6	1	94.52	CobD_Cbib	PF03186.18	K02227	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	STRONG_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	AFSP_STRONG_POCKET_READY_FOR_FEATURE_SCAN	R08_PENDING	Strong pocket conservation with AFSP reference; UniProt/curated feature scan is needed for residue-level claims.	UNIPROT_FEATURE_SCAN	NO		AFSP_FEATURE_SCAN_PENDING	PENDING	AFSP reference requires UniProt/curated feature scan for residue-level interpretation.				Keep as strong structural-pocket candidate; do not claim curated catalytic/binding-site residue because UniProt feature scan found no residue-level active/binding/site feature.	STRONG_STRUCTURAL_POCKET_SUPPORT_NO_CURATED_RESIDUE	HIGH_CAUTION	AFSP_UNIPROT_FEATURE_SCAN	Strong AFSP-supported pocket signal exists, but no curated active/binding/site/metal/nucleotide residue-level feature was found.
T1P009	CobD_Cbib	STRONG_ADVANCE	HIGH	AF-Q1GDE9-F1-model_v6	AFSP_TOP1	AFSP_MODEL	6vfk-assembly1_B	AF-Q1GDE9-F1-model_v6	0.987	0.347	28	26	23	23	0.8214	0.8846	5	0	94.94	CobD_Cbib	PF03186.18	K02227	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	STRONG_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	AFSP_STRONG_POCKET_READY_FOR_FEATURE_SCAN	R08_PENDING	Strong pocket conservation with AFSP reference; UniProt/curated feature scan is needed for residue-level claims.	UNIPROT_FEATURE_SCAN	NO		AFSP_FEATURE_SCAN_PENDING	PENDING	AFSP reference requires UniProt/curated feature scan for residue-level interpretation.				Keep as strong structural-pocket candidate; do not claim curated catalytic/binding-site residue because UniProt feature scan found no residue-level active/binding/site feature.	STRONG_STRUCTURAL_POCKET_SUPPORT_NO_CURATED_RESIDUE	HIGH_CAUTION	AFSP_UNIPROT_FEATURE_SCAN	Strong AFSP-supported pocket signal exists, but no curated active/binding/site/metal/nucleotide residue-level feature was found.
T1P010	CobD_Cbib	STRONG_ADVANCE	HIGH	AF-Q5LNI0-F1-model_v6	AFSP_TOP1	AFSP_MODEL	7mwr-assembly1_B	AF-Q1GDE9-F1-model_v6	0.978	0.479	29	28	25	25	0.8621	0.8929	3	1	94.28	CobD_Cbib	PF03186.18	K02227	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	STRONG_QUERY_POCKET_CONSERVATION;AFSP_REFERENCE_AVAILABLE	AFSP_STRONG_POCKET_READY_FOR_FEATURE_SCAN	R08_PENDING	Strong pocket conservation with AFSP reference; UniProt/curated feature scan is needed for residue-level claims.	UNIPROT_FEATURE_SCAN	NO		AFSP_FEATURE_SCAN_PENDING	PENDING	AFSP reference requires UniProt/curated feature scan for residue-level interpretation.				Keep as strong structural-pocket candidate; do not claim curated catalytic/binding-site residue because UniProt feature scan found no residue-level active/binding/site feature.	STRONG_STRUCTURAL_POCKET_SUPPORT_NO_CURATED_RESIDUE	HIGH_CAUTION	AFSP_UNIPROT_FEATURE_SCAN	Strong AFSP-supported pocket signal exists, but no curated active/binding/site/metal/nucleotide residue-level feature was found.
