query	target	evalue	bits	prob	alntmscore	qtmscore	ttmscore	lddt	qcov	tcov	qlen	tlen	batch
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-W7MWX4-F1-model_v6	9.493E-21	587	1.000	7.967E-01	6.215E-01	7.286E-01	5.259E-01	0.910	0.911	546	461	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q0WSF1-F1-model_v6	1.802E-22	566	1.000	6.663E-01	6.107E-01	5.630E-01	5.056E-01	0.995	0.836	546	596	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A6VH72-F1-model_v6	1.070E-21	565	1.000	7.235E-01	5.895E-01	6.834E-01	4.941E-01	0.923	0.942	546	465	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q5HMA0-F1-model_v6	1.892E-20	563	1.000	7.561E-01	6.158E-01	7.013E-01	5.252E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0R4Q0-F1-model_v6	8.501E-22	563	1.000	7.041E-01	6.092E-01	6.413E-01	5.001E-01	0.960	0.907	546	517	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q6LX65-F1-model_v6	7.155E-22	560	1.000	7.155E-01	5.834E-01	6.760E-01	4.849E-01	0.923	0.942	546	465	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q6GEV3-F1-model_v6	2.247E-20	559	1.000	7.556E-01	6.139E-01	7.001E-01	5.215E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B5ZUG3-F1-model_v6	2.670E-20	559	1.000	7.535E-01	6.245E-01	6.956E-01	5.260E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A0A6J4B898-F1-model_v6	1.340E-20	558	1.000	7.648E-01	6.017E-01	7.044E-01	5.030E-01	0.910	0.915	546	461	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q7A4D8-F1-model_v6	1.419E-20	558	1.000	7.495E-01	6.094E-01	6.945E-01	5.140E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-S0ENH1-F1-model_v6	3.559E-20	557	1.000	7.768E-01	6.102E-01	7.144E-01	5.117E-01	0.910	0.915	546	461	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q49Z69-F1-model_v6	2.247E-20	557	1.000	7.539E-01	6.117E-01	6.966E-01	5.173E-01	0.919	0.920	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A4FW36-F1-model_v6	4.247E-21	556	1.000	7.306E-01	5.948E-01	6.900E-01	4.994E-01	0.923	0.942	546	465	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-A5U390-F1-model_v6	3.187E-21	555	1.000	7.098E-01	6.142E-01	6.454E-01	5.074E-01	0.954	0.905	546	518	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P94428-F1-model_v6	6.725E-21	554	1.000	7.437E-01	6.037E-01	7.048E-01	4.963E-01	0.910	0.946	546	462	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-Q8NVG4-F1-model_v6	8.963E-21	552	1.000	7.293E-01	5.937E-01	6.760E-01	5.080E-01	0.921	0.924	546	475	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-B3PTE1-F1-model_v6	6.695E-20	551	1.000	7.555E-01	6.258E-01	6.970E-01	5.286E-01	0.932	0.920	546	487	batch001_barbun6h_20cpu
T1_Acidimicrobiia_bacterium__GCA_028357055.1_-_ASM2835705v1__JAOMVY010000017.1__10__2080302_3	AF-P94682-F1-model_v6	3.752E-19	550	1.000	7.909E-01	6.327E-01	7.198E-01	5.391E-01	0.912	0.905	546	476	batch001_barbun6h_20cpu
